list-none-s,1,1000,1,3000,9345906,3115,59
list-none-s,1,1000,4,3000,3035662,1011,57
list-none-s,1,1000,8,3000,2010724,670,57
list-none-s,1,1000,16,3000,1586888,528,62
list-none-s,4,1000,1,12000,146297255,12191,36112
list-none-s,4,1000,4,12000,21073048,1756,2815
list-none-s,4,1000,8,12000,10847680,903,965
list-none-s,4,1000,16,12000,7072127,589,428
list-none-s,8,1000,1,24000,569629282,23734,164865
list-none-s,8,1000,4,24000,68865339,2869,14028
list-none-s,8,1000,8,24000,30303691,1262,4536
list-none-s,8,1000,16,24000,15581478,649,1535
list-none-s,12,1000,1,36000,1346380848,37399,401745
list-none-s,12,1000,4,36000,141360433,3926,33862
list-none-s,12,1000,8,36000,57113966,1586,10634
list-none-s,12,1000,16,36000,26067986,724,3331
list-none-s,16,1000,1,48000,2434506381,50718,740428
list-none-s,16,1000,4,48000,246303973,5131,63532
list-none-s,16,1000,8,48000,91826490,1913,19244
list-none-s,16,1000,16,48000,41720791,869,6317
list-none-s,1,1000,1,3000,9753132,3251,57
list-none-s,1,1000,4,3000,3040445,1013,59
list-none-s,1,1000,8,3000,1926012,642,51
list-none-s,1,1000,16,3000,1381100,460,52
list-none-s,4,1000,1,12000,141688960,11807,35099
list-none-s,4,1000,4,12000,20105439,1675,2786
list-none-s,4,1000,8,12000,10554543,879,941
list-none-s,4,1000,16,12000,7246125,603,424
list-none-s,8,1000,1,24000,578216777,24092,164170
list-none-s,8,1000,4,24000,65881924,2745,13569
list-none-s,8,1000,8,24000,28795712,1199,4226
list-none-s,8,1000,16,24000,16275456,678,1559
list-none-s,12,1000,1,36000,1335243407,37090,396108
list-none-s,12,1000,4,36000,144386089,4010,34402
list-none-s,12,1000,8,36000,55230720,1534,10322
list-none-s,12,1000,16,36000,26335952,731,3369
list-none-s,16,1000,1,48000,2585381545,53862,786889
list-none-s,16,1000,4,48000,245005727,5104,63482
list-none-s,16,1000,8,48000,94817559,1975,20043
list-none-s,16,1000,16,48000,41197892,858,6319
